model,image,Prediction v. GT Intersection over Union,false positive,true positive,false negative,precision,recall,accuracy,f1 score,n_true,n_pred,mean_true_score,mean_matched_score,panoptic_quality
V2,SLD_0000404.vsi - 20x_01_Region_1_Labels_t2.tif,0.7668491305624148,22,91,34,0.8053097345132744,0.728,0.6190476190476191,0.7647058823529411,125,113,0.5685894405043704,0.7810294512422672,0.5972578156558513
V2,SLD_0000406.vsi - 20x_01_Region_1_Labels_t1.tif,0.7157452303485295,16,84,48,0.84,0.6363636363636364,0.5675675675675675,0.7241379310344828,132,100,0.4977134117718409,0.7821210756414643,0.5663635375334741
V2,SLD_0000406.vsi - 20x_01_Region_2_Labels_t1.tif,0.8118927033670422,16,117,52,0.8796992481203008,0.6923076923076923,0.6324324324324324,0.7748344370860927,169,133,0.5367092299939865,0.7752466655468694,0.6006878137018788
V2,SLD_0000406.vsi - 20x_01_Region_1_Labels_t2.tif,0.6517321655747778,34,57,35,0.6263736263736264,0.6195652173913043,0.4523809523809524,0.6229508196721312,92,91,0.48577157571369745,0.7840523678185993,0.48842606519847176
V2,SLD_0000512.vsi - 20x_03_Region_1_Labels_t1.tif,0.7680996727117492,22,92,48,0.8070175438596491,0.6571428571428571,0.5679012345679012,0.7244094488188977,140,114,0.510027601219141,0.7761289583769537,0.5622351509502341
V2,SLD_0000563.vsi - 20x_03_Region_1_Labels_t2.tif,0.6417924483942258,11,72,63,0.8674698795180723,0.5333333333333333,0.4931506849315068,0.6605504587155964,135,83,0.39786876223956047,0.7460039291991758,0.4927732376361528
