Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Area µm^2	Length µm	Circularity	Solidity	Max diameter µm	Min diameter µm	Hematoxylin: Mean	Hematoxylin: Median	Hematoxylin: Min	Hematoxylin: Max	Hematoxylin: Std.Dev.	DAB: Mean	DAB: Median	DAB: Min	DAB: Max	DAB: Std.Dev.
SLD_0000400.vsi - 20x_02	PathDetectionObject		S1	Polygon	11710.1	2207.2	0.9429	90.0069	34.0111	0.9778	1	11.3288	10.4033	0.3742	0.3952	0.1562	0.5308	0.0867	-0.0362	-0.0416	-0.1036	0.0367	0.0281
SLD_0000400.vsi - 20x_02	PathDetectionObject		S1	Polygon	11787.5	1896.3	0.9413	135.8657	41.8959	0.9727	1	14.3852	12.0939	0.3541	0.3837	0.0952	0.543	0.103	-0.0316	-0.0403	-0.0857	0.0841	0.0337
SLD_0000400.vsi - 20x_02	PathDetectionObject		S1	Polygon	11823.7	773.44	0.9357	83.9826	33.3777	0.9473	0.9964	11.7946	8.9421	0.5178	0.5766	0.1522	0.7806	0.1605	-0.0616	-0.0708	-0.1187	0.0142	0.0357
SLD_0000400.vsi - 20x_02	PathDetectionObject		S1	Polygon	12148.4	2016.4	0.9352	72.2008	30.5659	0.9711	1	10.4413	8.8466	0.4242	0.4451	0.064	0.8735	0.1921	-0.0414	-0.0491	-0.141	0.099	0.0518
SLD_0000400.vsi - 20x_02	PathDetectionObject		S1	Polygon	11783.4	2079	0.9351	97.9005	35.4358	0.9797	1	11.7712	10.6032	0.3286	0.3375	0.1294	0.6147	0.075	-0.027	-0.0322	-0.0718	0.0444	0.0266
SLD_0000400.vsi - 20x_02	PathDetectionObject		S1	Polygon	11289.3	2210.5	0.9343	108.6796	37.6865	0.9616	0.9975	12.8373	10.47	0.4041	0.4087	0.1457	0.6701	0.108	-0.0459	-0.0508	-0.093	0.0443	0.0283
SLD_0000400.vsi - 20x_02	PathDetectionObject		S1	Polygon	11438.5	1160.3	0.9339	110.6747	37.8998	0.9682	1	13.284	10.7584	0.3717	0.3815	0.1279	0.5734	0.0909	-0.0355	-0.0422	-0.079	0.0377	0.0266
SLD_0000400.vsi - 20x_02	PathDetectionObject		S1	Polygon	12118.9	2029.5	0.9329	114.3693	38.3606	0.9767	1	12.9614	11.1752	0.4267	0.4591	0.1246	0.6319	0.1118	-0.0452	-0.0543	-0.0951	0.037	0.0318
SLD_0000400.vsi - 20x_02	PathDetectionObject		S1	Polygon	11240.1	997.45	0.9328	116.6698	39.1034	0.9588	1	13.5227	10.5684	0.3502	0.3754	0.1346	0.489	0.0856	-0.0313	-0.0413	-0.0702	0.0519	0.0277
SLD_0000400.vsi - 20x_02	PathDetectionObject		S1	Polygon	11422.2	1732.7	0.9327	152.3936	44.4801	0.9679	1	15.0364	12.6033	0.4495	0.4608	0.0771	0.8364	0.1138	-0.0517	-0.0588	-0.1254	0.0558	0.0321
