Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9002.1	2711.2	82.78	32.8
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10073.9	1743.8	25.57	18.72
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10368	2429.3	32.15	21.76
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8947.8	2409.2	24.63	18.34
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8896.7	959.64	127.75	40.55
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9618.6	1921.4	84.34	33.22
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9453.9	2068.2	21.14	17.1
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8464.8	878.18	54.36	26.87
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9727	1207.3	24.41	18
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9610.7	681.21	59.28	27.92
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10181.1	1128.2	25.69	18.65
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9302.6	1272.1	54.81	27.27
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10153.9	2282.3	54.08	26.55
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9838.7	973.41	105.65	37.08
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9248.1	2077.1	30.32	20.31
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10089.1	2360.9	107.56	37.24
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9985	2071.7	49.06	25.23
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8943.7	2226.1	27.27	20.4
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9812.4	1909.9	50.62	25.97
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10154.1	850.63	84.91	33.3
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10157.3	1206.3	112.86	39.4
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9540.6	806.27	37.7	22.39
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8809.4	754.02	24.33	25.48
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8931.6	1244.6	85.09	33.07
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9501.2	1455.8	100.79	35.96
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9404.2	2016.5	21.79	17.07
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9937.4	1141.8	42.47	23.93
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10157.2	1214.8	43	34.78
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9533	1654.8	28.36	19.42
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9964.8	1735.4	82.86	32.73
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10225.1	2106.6	65.85	29.43
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10034	2607.3	39.93	22.88
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9137.1	1717.9	82.54	32.67
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8714.2	833.4	34.56	21.47
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8917.8	2323.7	43.33	23.8
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10505.7	1720	19.77	20.24
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10234.7	2291.2	16.07	15.1
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9427.7	841.56	87.66	33.88
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8921.6	1836.1	49.11	25.4
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9198.4	1300.8	31.2	20.85
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8961.1	2821.6	22.81	17.97
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10253.4	876.18	26.34	24.64
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9731.8	1040.3	104.36	37.06
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9176.4	2328.2	70.23	30.33
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9108	2121.9	86.48	33.85
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9909.3	872.13	32.04	21.24
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10321.4	1356	113.29	38.33
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9223.4	2008.9	60.12	27.95
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9406	841	69.61	31.02
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8738.6	709.15	51.35	25.98
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9372.9	2161.6	24.15	18.63
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9061	2356.2	47.68	29.87
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9485.2	2414.8	54.93	26.73
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10003.5	2040.7	60.17	27.81
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9443.4	2150.4	61.98	28.81
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9228.5	2771	46.32	24.62
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9642.1	1135	42.61	24.01
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9566.8	2369.2	58.64	27.61
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9114.8	1304.6	24.95	18.56
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10383.9	1625	22.21	17.87
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8562.7	787.32	29.76	24.24
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10339.4	921.63	107.59	37.45
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9692	2191.6	37.54	22.78
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9008.3	1707.3	18.02	16.35
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8902.6	2113.2	59.52	28
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9818.4	1074.4	87.31	33.82
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9192.8	745.75	23.68	21.92
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9253	1489.4	105.63	37.15
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9292.3	710.27	76.72	31.58
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8913.6	1273.4	46.51	24.81
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10377.3	1850.3	23.08	17.82
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9239.1	1166	52.31	33.31
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10157.1	1879.5	35.87	21.77
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9360.3	2500.9	18.07	15.99
