Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Area µm^2	Length µm	Circularity	Solidity	Max diameter µm	Min diameter µm	Hematoxylin: Mean	Hematoxylin: Median	Hematoxylin: Min	Hematoxylin: Max	Hematoxylin: Std.Dev.	DAB: Mean	DAB: Median	DAB: Min	DAB: Max	DAB: Std.Dev.
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7213.2	2311	0.9248	76.8538	31.867	0.951	0.9975	11.4177	8.5835	0.4094	0.4138	0.1378	0.7505	0.1065	-0.0427	-0.0495	-0.1062	0.0491	0.0314
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7971.5	1702.1	0.9245	98.8302	35.749	0.9718	1	12.4192	10.3151	0.4139	0.4185	0.1774	0.5642	0.0787	-0.0504	-0.0541	-0.0839	0.0105	0.0193
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7113.2	2336.3	0.9245	72.0421	30.4833	0.9743	1	10.2551	9.1829	0.4049	0.4357	0.102	0.6483	0.112	-0.04	-0.0484	-0.099	0.0522	0.0366
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7214.7	1833.6	0.9245	105.8794	37.2291	0.96	1	12.974	10.0819	0.5136	0.5337	0.1593	0.7218	0.1073	-0.066	-0.0706	-0.0989	0.0291	0.0233
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7652.4	2065.9	0.9244	121.6742	39.7303	0.9686	0.9971	13.4443	11.7453	0.352	0.376	0.0892	0.5725	0.0855	-0.0284	-0.0362	-0.08	0.056	0.0274
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	6991.8	2554.7	0.9241	90.1939	34.1618	0.9712	1	11.7027	10.2187	0.4224	0.444	0.1819	0.5918	0.092	-0.0444	-0.0495	-0.0818	0.0238	0.0247
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7186.8	1911.6	0.9239	97.8235	36.09	0.9438	0.9963	12.8498	9.7317	0.414	0.4282	0.147	0.5717	0.092	-0.049	-0.0553	-0.0921	0.0304	0.0274
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7319.6	2187.2	0.9239	122.0505	39.8092	0.9678	0.9983	13.1903	11.9749	0.5921	0.6111	0.1922	0.8438	0.1229	-0.0856	-0.0901	-0.1377	0.0004	0.0241
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7495.3	2304.4	0.9237	70.8968	30.3503	0.9672	1	10.4197	8.6836	0.4875	0.5172	0.1699	0.7186	0.1104	-0.0627	-0.0726	-0.1081	0.0215	0.0297
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	6932.2	1733.3	0.9237	149.7963	44.565	0.9478	0.9992	15.8853	11.7441	0.4937	0.4958	0.2038	0.6366	0.0715	-0.0723	-0.0777	-0.1092	-0.0021	0.0192
