Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Area µm^2	Length µm	Circularity	Solidity	Max diameter µm	Min diameter µm	Hematoxylin: Mean	Hematoxylin: Median	Hematoxylin: Min	Hematoxylin: Max	Hematoxylin: Std.Dev.	DAB: Mean	DAB: Median	DAB: Min	DAB: Max	DAB: Std.Dev.
SLD_0000539.vsi - 20x_02	PathDetectionObject		S1	Polygon	5917.1	1740.2	0.9607	142.4943	43.0559	0.9659	1	14.8234	11.9429	0.2937	0.3359	0.0652	0.5059	0.1094	-0.0216	-0.0323	-0.0874	0.0712	0.0386
SLD_0000539.vsi - 20x_02	PathDetectionObject		S1	Polygon	6399	2033	0.9458	117.0302	38.8749	0.9731	0.9988	12.8685	11.7291	0.2964	0.3082	0.0853	0.4734	0.082	-0.0194	-0.0242	-0.0664	0.0547	0.0254
SLD_0000539.vsi - 20x_02	PathDetectionObject		S1	Polygon	5407.4	2134.4	0.9449	198.8135	50.9608	0.962	0.9987	17.7687	14.1912	0.3621	0.3772	0.11	0.5343	0.0828	-0.0533	-0.0608	-0.0991	0.0372	0.0282
SLD_0000539.vsi - 20x_02	PathDetectionObject		S1	Polygon	6276.7	1579.2	0.9442	100.3149	36.1279	0.9658	1	12.5484	10.0412	0.2867	0.296	0.0879	0.4124	0.0731	-0.0278	-0.0343	-0.0734	0.0551	0.0276
SLD_0000539.vsi - 20x_02	PathDetectionObject		S1	Polygon	6056.5	2174.1	0.9427	67.6553	29.4794	0.9783	1	9.7515	8.967	0.3149	0.3523	0.0941	0.4718	0.1006	-0.0238	-0.0265	-0.0871	0.055	0.0294
SLD_0000539.vsi - 20x_02	PathDetectionObject		S1	Polygon	5904.1	1906.4	0.9426	145.1788	43.5675	0.9611	0.9999	15.0301	12.3142	0.2906	0.3067	0.0662	0.4476	0.078	-0.0186	-0.0271	-0.082	0.0601	0.0309
SLD_0000539.vsi - 20x_02	PathDetectionObject		S1	Polygon	6285.8	2050.8	0.9412	81.1549	32.3345	0.9754	1	10.8463	9.6298	0.2787	0.2826	0.0944	0.4173	0.071	-0.0153	-0.0175	-0.0646	0.0397	0.0249
SLD_0000539.vsi - 20x_02	PathDetectionObject		S1	Polygon	6164.8	2153.4	0.939	63.004	28.5863	0.9689	1	9.8358	8.2697	0.3276	0.3456	0.1217	0.4901	0.0887	-0.0124	-0.0158	-0.0625	0.0294	0.0237
SLD_0000539.vsi - 20x_02	PathDetectionObject		S1	Polygon	5306.6	1110.9	0.9371	134.0731	41.6087	0.9732	1	13.9125	12.1068	0.1932	0.2012	0.0751	0.3183	0.0634	0.0111	0.0093	-0.0409	0.0744	0.03
SLD_0000539.vsi - 20x_02	PathDetectionObject		S1	Polygon	5731.2	2293.7	0.9368	130.4529	41.1291	0.9691	1	14.1436	11.8289	0.3418	0.3518	0.1645	0.69	0.0877	-0.0363	-0.041	-0.0918	0.0365	0.0238
SLD_0000539.vsi - 20x_02	PathDetectionObject		S1	Polygon	5639.5	2492.4	0.9366	82.3529	32.8002	0.9619	0.9971	11.4297	9.2157	0.3517	0.3678	0.0797	0.7171	0.1457	-0.0215	-0.033	-0.0822	0.0645	0.0369
SLD_0000539.vsi - 20x_02	PathDetectionObject		S1	Polygon	6493.4	2390.1	0.9362	80.4721	32.8361	0.9379	0.9979	11.6837	8.5112	0.3313	0.3598	0.0739	0.5498	0.1035	-0.0245	-0.033	-0.0738	0.0542	0.0274
SLD_0000539.vsi - 20x_02	PathDetectionObject		S1	Polygon	5877.9	2124.2	0.9354	110.7943	37.885	0.97	1	12.7987	10.6989	0.2665	0.2688	0.1137	0.4606	0.0548	-0.0238	-0.0258	-0.0727	0.0441	0.0227
SLD_0000539.vsi - 20x_02	PathDetectionObject		S1	Polygon	5541.8	2510.7	0.9343	84.5364	32.9314	0.9796	1	10.8784	9.9298	0.4241	0.4251	0.1313	0.7149	0.1325	-0.0368	-0.0453	-0.0832	0.0395	0.0292
SLD_0000539.vsi - 20x_02	PathDetectionObject		S1	Polygon	5969.1	1945.3	0.9341	159.1189	45.3877	0.9706	0.9998	15.1528	13.5654	0.3523	0.3594	0.0728	0.556	0.0941	-0.0403	-0.0432	-0.1001	0.0389	0.0321
SLD_0000539.vsi - 20x_02	PathDetectionObject		S1	Polygon	5940.4	2208.9	0.9338	131.6392	41.7779	0.9478	1	15.0603	10.8987	0.3982	0.425	0.0852	0.6877	0.1545	-0.0385	-0.0472	-0.0998	0.0663	0.0385
SLD_0000539.vsi - 20x_02	PathDetectionObject		S1	Polygon	6366.6	1762.5	0.9315	98.8084	38.6761	0.8301	1	13.9838	9.0752	0.3602	0.3501	0.1533	0.6308	0.1021	-0.0325	-0.0343	-0.0817	0.0331	0.0248
SLD_0000539.vsi - 20x_02	PathDetectionObject		S1	Polygon	6158.7	2203.5	0.9306	109.9252	37.5996	0.9771	1	12.6281	11.2838	0.3553	0.37	0.0885	0.5709	0.1164	-0.0229	-0.0279	-0.0832	0.0628	0.0303
SLD_0000539.vsi - 20x_02	PathDetectionObject		S1	Polygon	6251.5	1858	0.9306	142.5027	42.9177	0.9722	1	14.5111	12.3039	0.3106	0.321	0.1322	0.4251	0.0618	-0.0395	-0.0455	-0.0851	0.0317	0.0235
SLD_0000539.vsi - 20x_02	PathDetectionObject		S1	Polygon	5633	2287	0.9304	78.1247	31.963	0.961	1	11.4114	8.8684	0.3989	0.3957	0.149	0.7809	0.1278	-0.0393	-0.0455	-0.0922	0.0488	0.0298
SLD_0000539.vsi - 20x_02	PathDetectionObject		S1	Polygon	5657.6	2889.6	0.93	88.7028	34.2245	0.9516	1	12.3889	9.5938	0.3003	0.3153	0.0805	0.544	0.0961	-0.017	-0.0222	-0.081	0.0529	0.0305
