Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Area µm^2	Length µm	Circularity	Solidity	Max diameter µm	Min diameter µm	Hematoxylin: Mean	Hematoxylin: Median	Hematoxylin: Min	Hematoxylin: Max	Hematoxylin: Std.Dev.	DAB: Mean	DAB: Median	DAB: Min	DAB: Max	DAB: Std.Dev.
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10733.2	2239.3	0.9237	74.0718	30.9907	0.9692	0.9977	10.5279	8.9575	0.3503	0.3788	0.1096	0.5677	0.108	-0.0228	-0.0284	-0.0867	0.0455	0.0301
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10806.1	1888.2	0.9232	126.8501	40.756	0.9597	0.9989	14.2959	11.5141	0.4493	0.476	0.1212	0.7665	0.1354	-0.0506	-0.0547	-0.12	0.0305	0.0328
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11300.7	944.99	0.9231	96.847	35.5072	0.9653	1	12.2536	9.9519	0.4974	0.5193	0.1459	0.7195	0.1102	-0.0678	-0.0752	-0.1196	0.0172	0.0267
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10943	920.76	0.9227	70.5835	30.4751	0.955	1	10.7152	8.6103	0.4047	0.4291	0.1153	0.68	0.117	-0.0459	-0.0544	-0.1011	0.0638	0.0366
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11182	1928	0.9222	78.9102	32.1922	0.9568	1	11.1127	8.8695	0.3421	0.3858	0.1008	0.5426	0.113	-0.0197	-0.0266	-0.0817	0.0506	0.0329
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10670.5	961.57	0.9219	119.9493	39.8252	0.9504	1	14.2165	10.5112	0.4919	0.5097	0.1943	0.7755	0.1145	-0.0585	-0.0633	-0.1093	0.0145	0.026
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11277	1794.6	0.9212	118.8923	39.5831	0.9536	1	14.0147	10.4912	0.4762	0.4886	0.151	0.6992	0.12	-0.0539	-0.0561	-0.1073	0.0216	0.0277
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10505.2	400.19	0.9212	97.7445	35.5117	0.974	1	11.8914	10.7491	0.3475	0.3749	0.1317	0.506	0.0881	-0.0287	-0.0363	-0.0765	0.046	0.0312
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11330.4	1947.1	0.9211	82.5908	32.6926	0.9711	1	11.2313	9.5638	0.33	0.3374	0.1094	0.5071	0.0775	-0.0322	-0.0356	-0.077	0.0562	0.0258
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10297.2	2018.1	0.9209	56.6728	27.1923	0.9631	0.9978	9.2977	8.0309	0.3733	0.4013	0.0751	0.7182	0.1473	-0.0365	-0.0387	-0.1076	0.055	0.0373
